Main|Specific|Phrase
Core Analytics |Business Intelligence |Through 2016, less than 10% of self-service BI initiatives will be governed sufficiently to prevent inconsistencies that adversely affect the business. 
Information Infrastructure and Technology |Smart Machines |By 2018, smart machines will distribute 10% of human work, acting as intermediaries between the organization, employees and external workers. 
Business Function |Workforce |By 2018, only 10% of business operations planning and review cycles will leverage self-service, data-driven workforce insights. 
Business Function |Supply Chain Planning |By 2018, only 10% of global enterprises will have 30% or more, of their planning capability in the respond planning category. 
Core Information |Information Innovation |By 2017, 15% of global organizations will use linked data methods to create open data applications to generate alternative revenue streams. 
Business Function |CRM Sales |By 2017, 15% of sales organizations will use crowdsourced benchmarks to design their sales incentive compensation management (ICM) plans. 
Business Function |IT Procurement and Asset Management |"By 2018, at least 15% of industry-leading companies will inadvertently gift digital knowledge to ""IT vendors"" who use it to compete against the"
Information Infrastructure and Technology |Operational Technology and the Internet of Things |By 2020, the connected kitchen will contribute at least 15% savings in the food and beverage industry, while leveraging big data analytics. 
Information Infrastructure and Technology |Security, Privacy and Identity Predictions |By year-end 2016, the Internet of Things will drive device and user relationship requirements in 20% of new identity and access management implementations. 
Core Information |Information Innovation |By 2017, over 20% of customer-facing analytic deployments will provide product-tracking information leveraging the IoT. 
Digital Business/Commerce |Digital Business |"By 2017, nearly 20% of durable goods ""e-tailers"" will use 3D printing to create personalized product offerings. "
Core Information |Enterprise Content |By 2018, 20% of business content will be created by nonhumans. 
Core Information |Enterprise Content |"By 2018, more than 20% of enterprise content management (ECM) solution sales will address multiorganization ""ecosystem"" content. "
Information Infrastructure and Technology |Storage|By 2018, 20% of the largest 2,000 enterprises will use Apache Hadoop as an archive repository, up from 1% today. 
Business Function |Enterprise Resource Planning |Through 2018, 20% of large enterprises will deliver real-time visibility into financial performance, using in-memory computing (IMC) with their finance systems. 
Industry |Government |By 2018, 20% of smart cities worldwide will have key initiatives that address medical/healthcare and ageing population issues to improve the quality of life. 
Business Function |Workforce |By 2020, 20% of organizations will include employee engagement improvement as a shared performance objective for HR and IT groups.
Core Analytics |Advanced Analytics |By 2016, at least 25% of the major advanced analytics vendors will offer functionality via analytics marketplaces. 
Core Information |Information Governance and Master Data Management |By 2017, 25% of large enterprises will have a digital ethics code of conduct, to avoid the abuse of information and ensure consumer value. 
Information Infrastructure and Technology |Security, Privacy and Identity Predictions |By 2017, the number of permanently traceable individuals in developed countries will double from 25% to 50%. 
Business Function |IT Operations |By 2017, 25% of I&O organizations will invest in discrete business value dashboard tools as the primary means of communicating to the business. 
Industry |Retail Digital Commerce |"By 2017, more than 25% of all products sold by multichannel retailers will be priced ""in the moment"" through personalization that supports digital business strategies. "
Digital Business/Commerce |Digital Commerce |By 2018, more than 25% of B2B sellers will offer data-driven, usage-based subscription models. 
Information Infrastructure and Technology |Mobile, Web and Portal |By 2018, 25% of mobile enterprise apps will incorporate voice interaction for data presentation and capture. 
Core Information |Information Innovation |By 2017, over 30% of enterprise access to broadly based big data will be via intermediary data broker services, serving context to business decisions. 
Information Infrastructure and Technology |Security, Privacy and Identity Predictions |By 2017, 30% of threat intelligence services will include vertical-market security intelligence information from the IoT. 
